customer_Id,DOB,Gender,city_code,,
268275,1/2/1970,F,7,,
274630,1/2/1970,M,4,,
273541,1/2/1970,M,4,,
270324,1/2/1970,F,1,,
271312,1/4/1970,F,5,,
268627,1/6/1970,M,9,,
270430,1/6/1970,M,7,,
273840,1/7/1970,M,3,,
272721,1/9/1970,M,8,,
273398,1/10/1970,F,1,,
270567,1/11/1970,M,8,,
268635,1/11/1970,M,4,,
273556,1/12/1970,M,3,,
273216,1/15/1970,F,5,,
266929,1/15/1970,M,8,,
275152,1/16/1970,M,4,,
275034,1/18/1970,F,4,,
273966,1/21/1970,M,8,,
270829,1/22/1970,F,8,,
266997,1/23/1970,M,9,,
272455,1/25/1970,M,7,,
274593,1/26/1970,M,10,,
273391,1/29/1970,F,2,,
267657,1/29/1970,F,7,,
271344,1/29/1970,F,5,,
268408,2/1/1970,M,4,,
274834,2/4/1970,M,4,,
271991,2/4/1970,M,5,,
275250,2/5/1970,F,1,,
271626,2/6/1970,,6,,
267280,2/8/1970,M,5,,
275134,2/9/1970,F,8,,
267707,2/10/1970,F,2,,
269008,2/13/1970,F,6,,
267199,2/14/1970,,2,,
267916,2/17/1970,F,8,,
267609,2/18/1970,M,2,,
270602,2/18/1970,M,5,,
272883,2/19/1970,M,5,,
272359,2/19/1970,M,4,,
272603,2/19/1970,F,9,,
272028,2/20/1970,F,1,,
274717,2/21/1970,M,7,,
273316,2/21/1970,M,2,,
271262,2/21/1970,M,2,,
267166,2/22/1970,F,4,,
272555,3/5/1970,M,1,,
272301,3/6/1970,F,8,,
267304,3/8/1970,M,4,,
267713,3/9/1970,M,1,,
274029,3/9/1970,F,1,,
272261,3/9/1970,F,9,,
273170,3/10/1970,F,8,,
271924,3/10/1970,M,5,,
274360,3/14/1970,M,5,,
274602,3/15/1970,F,3,,
266799,3/16/1970,F,5,,
272821,3/17/1970,F,3,,
267379,3/21/1970,F,2,,
273016,3/22/1970,M,3,,
273106,3/23/1970,F,2,,
271935,3/26/1970,M,5,,
273109,3/27/1970,F,5,,
270986,3/27/1970,M,10,,
266969,3/28/1970,M,2,,
273871,3/29/1970,M,7,,
273811,3/29/1970,M,8,,
270827,4/3/1970,F,10,,
273423,4/3/1970,F,4,,
269765,4/4/1970,F,9,,
268792,4/7/1970,M,4,,
274628,4/9/1970,M,5,,
270352,4/12/1970,M,2,,
275200,4/12/1970,M,8,,
272645,4/14/1970,F,2,,
270780,4/18/1970,F,3,,
272736,4/19/1970,F,1,,
272627,4/19/1970,F,3,,
272795,4/22/1970,M,1,,
270450,4/24/1970,F,3,,
266862,4/24/1970,F,5,,
274535,4/26/1970,F,4,,
269640,4/29/1970,M,7,,
268290,4/29/1970,M,7,,
269531,5/6/1970,M,2,,
274892,5/7/1970,F,8,,
270446,5/10/1970,M,10,,
275166,5/11/1970,M,10,,
273150,5/14/1970,F,10,,
267386,5/15/1970,M,7,,
274350,5/16/1970,F,3,,
273645,5/22/1970,F,4,,
270911,5/22/1970,M,2,,
268424,5/23/1970,F,8,,
271045,5/23/1970,F,7,,
273613,6/2/1970,M,1,,
272071,6/4/1970,F,6,,
268732,6/5/1970,M,2,,
271478,6/5/1970,F,1,,
274445,6/8/1970,M,8,,
270678,6/8/1970,F,4,,
273776,6/9/1970,F,2,,
274743,6/9/1970,M,4,,
267603,6/11/1970,F,1,,
266954,6/11/1970,M,4,,
270933,6/15/1970,M,8,,
271072,6/16/1970,M,6,,
271465,6/17/1970,F,9,,
274770,6/17/1970,F,2,,
270676,6/19/1970,M,5,,
273529,6/19/1970,F,1,,
273162,6/19/1970,M,8,,
268533,6/23/1970,F,6,,
275246,6/25/1970,M,3,,
267066,6/25/1970,F,10,,
269345,6/26/1970,F,10,,
275116,6/29/1970,M,5,,
269696,7/1/1970,F,8,,
271692,7/3/1970,M,5,,
270328,7/8/1970,F,4,,
270051,7/9/1970,M,8,,
273353,7/10/1970,F,4,,
268447,7/14/1970,M,,,
273442,7/16/1970,M,4,,
267081,7/17/1970,F,3,,
267042,7/23/1970,M,8,,
273151,7/24/1970,F,4,,
274169,7/24/1970,F,1,,
270130,7/26/1970,M,9,,
274546,7/26/1970,M,3,,
273575,7/27/1970,M,1,,
268159,8/1/1970,F,8,,
274592,8/3/1970,M,5,,
271777,8/3/1970,M,8,,
274455,8/9/1970,F,10,,
272088,8/9/1970,M,5,,
273583,8/9/1970,M,5,,
270331,8/10/1970,F,10,,
269825,8/21/1970,M,4,,
271750,8/23/1970,F,6,,
267826,8/24/1970,F,7,,
272501,8/26/1970,F,1,,
273587,8/29/1970,F,1,,
271608,9/2/1970,F,4,,
267529,9/5/1970,M,4,,
274849,9/6/1970,M,4,,
271031,9/6/1970,F,2,,
